depth,dim,heads,dropout,accuracy,f1_score
3.0,32.0,2.0,0.1,0.6111111111111112,0.0
3.0,64.0,2.0,0.1,0.6111111111111112,0.0
5.0,32.0,4.0,0.3,0.6111111111111112,0.0
3.0,64.0,4.0,0.3,0.6111111111111112,0.0
3.0,32.0,4.0,0.3,0.6111111111111112,0.0
5.0,64.0,2.0,0.3,0.6111111111111112,0.0
5.0,32.0,2.0,0.3,0.6111111111111112,0.0
3.0,64.0,2.0,0.3,0.6111111111111112,0.0
3.0,32.0,2.0,0.3,0.6111111111111112,0.0
5.0,64.0,4.0,0.2,0.6111111111111112,0.0
5.0,32.0,4.0,0.2,0.6111111111111112,0.0
3.0,64.0,4.0,0.2,0.6111111111111112,0.0
3.0,32.0,4.0,0.2,0.6111111111111112,0.0
5.0,64.0,2.0,0.2,0.6111111111111112,0.0
5.0,32.0,2.0,0.2,0.6111111111111112,0.0
3.0,64.0,2.0,0.2,0.6111111111111112,0.0
3.0,32.0,2.0,0.2,0.6111111111111112,0.0
5.0,64.0,4.0,0.1,0.6111111111111112,0.0
5.0,32.0,4.0,0.1,0.6111111111111112,0.0
3.0,64.0,4.0,0.1,0.6111111111111112,0.0
3.0,32.0,4.0,0.1,0.6111111111111112,0.0
5.0,64.0,2.0,0.1,0.6111111111111112,0.0
5.0,32.0,2.0,0.1,0.6111111111111112,0.0
5.0,64.0,4.0,0.3,0.6111111111111112,0.0
